iter	Passed	Remaining
0	70	69975
1	70	35124
2	70	23488
3	70	17669
4	71	14178
5	71	11851
6	71	10187
7	72	8939
8	72	7969
9	72	7192
10	72	6557
11	73	6028
12	73	5580
13	73	5195
14	74	4862
15	74	4573
16	74	4319
17	75	4111
18	75	3906
19	75	3720
20	76	3552
21	76	3400
22	76	3260
23	77	3133
24	77	3016
25	77	2907
26	77	2807
27	78	2713
28	78	2626
29	78	2545
30	78	2469
31	79	2397
32	80	2344
33	80	2294
34	81	2242
35	82	2196
36	82	2149
37	83	2113
38	84	2071
39	84	2032
40	85	1994
41	88	2009
42	88	1976
43	89	1942
44	91	1943
45	91	1904
46	92	1868
47	92	1832
48	92	1798
49	92	1766
50	93	1734
51	93	1704
52	93	1675
53	94	1647
54	94	1621
55	94	1595
56	95	1586
57	96	1566
58	98	1570
59	99	1551
60	99	1532
61	100	1517
62	100	1500
63	103	1515
64	103	1494
65	104	1474
66	104	1457
67	104	1435
68	105	1417
69	105	1398
70	105	1381
71	105	1364
72	106	1347
73	106	1331
74	106	1315
75	106	1300
76	107	1285
77	107	1270
78	107	1256
79	108	1242
80	108	1228
81	108	1215
82	108	1202
83	109	1190
84	109	1176
85	109	1164
86	109	1150
87	109	1139
88	110	1128
89	110	1117
90	110	1106
91	111	1095
92	111	1085
93	111	1076
94	111	1066
95	112	1057
96	112	1047
97	112	1038
98	113	1029
99	113	1020
100	113	1011
101	113	1001
102	120	1052
103	121	1046
104	122	1041
105	122	1034
106	127	1062
107	127	1056
108	129	1056
109	129	1048
110	129	1040
111	130	1032
112	130	1024
113	132	1029
114	132	1021
115	132	1012
116	133	1005
117	133	997
118	133	989
119	133	981
120	134	974
121	134	967
122	134	959
123	134	952
124	135	945
125	135	938
126	135	932
127	135	924
128	136	918
129	136	912
130	136	905
131	136	899
132	137	893
133	137	887
134	137	881
135	137	876
136	138	870
137	138	864
138	138	858
139	138	853
140	139	847
141	139	842
142	139	837
143	139	832
144	140	826
145	140	821
146	140	816
147	141	811
148	141	807
149	141	802
150	141	797
151	142	793
152	142	788
153	142	783
154	142	779
155	143	774
156	143	770
157	143	766
158	144	761
159	144	757
160	144	753
161	144	749
162	145	745
163	145	741
164	145	737
165	145	733
166	146	729
167	146	725
168	146	721
169	147	717
170	147	713
171	147	710
172	147	706
173	148	703
174	148	699
175	148	695
176	148	692
177	149	688
178	149	685
179	149	682
180	149	677
181	150	674
182	150	671
183	150	667
184	150	664
185	151	661
186	151	658
187	151	655
188	152	652
189	152	649
190	152	646
191	152	643
192	153	640
193	153	637
194	153	634
195	154	631
196	154	628
197	154	626
198	154	623
199	155	620
200	155	617
201	155	614
202	155	612
203	156	610
204	156	607
205	156	604
206	157	602
207	157	599
208	157	596
209	157	594
210	158	592
211	158	589
212	159	587
213	159	585
214	159	583
215	160	580
216	160	578
217	160	576
218	160	574
219	161	571
220	161	569
221	161	567
222	162	565
223	162	563
224	162	561
225	163	559
226	163	556
227	163	554
228	164	553
229	164	551
230	164	549
231	165	546
232	165	544
233	165	542
234	166	540
235	166	539
236	166	537
237	167	534
238	167	533
239	167	531
240	168	529
241	168	527
242	168	525
243	168	523
244	169	521
245	169	520
246	170	518
247	170	516
248	170	515
249	171	513
250	171	511
251	171	509
252	172	508
253	172	506
254	172	504
255	173	502
256	173	501
257	173	499
258	173	497
259	174	496
260	174	494
261	175	493
262	175	491
263	175	489
264	176	488
265	176	486
266	176	485
267	177	483
268	177	481
269	177	480
270	178	478
271	178	477
272	178	475
273	179	474
274	179	473
275	179	471
276	180	470
277	180	468
278	180	467
279	181	465
280	181	464
281	181	462
282	182	461
283	182	460
284	182	458
285	183	457
286	183	455
287	183	454
288	184	453
289	184	451
290	184	450
291	185	449
292	185	448
293	186	447
294	186	445
295	186	444
296	187	443
297	187	441
298	187	440
299	188	439
300	188	437
301	188	436
302	189	434
303	189	433
304	189	432
305	189	430
306	190	429
307	190	427
308	190	426
309	191	425
310	191	423
311	191	422
312	192	421
313	192	420
314	192	418
315	192	417
316	193	416
317	193	415
318	193	413
319	194	412
320	194	411
321	194	410
322	195	408
323	195	407
324	195	406
325	195	405
326	196	403
327	196	402
328	196	401
329	197	400
330	197	398
331	197	397
332	197	396
333	198	395
334	198	394
335	198	392
336	199	391
337	199	390
338	199	389
339	199	387
340	200	386
341	200	385
