iter	Passed	Remaining
0	61	61638
1	62	31002
2	62	20778
3	62	15657
4	63	12609
5	63	10555
6	64	9086
7	64	7985
8	64	7141
9	65	6462
10	65	5904
11	66	5435
12	66	5037
13	66	4699
14	67	4404
15	67	4146
16	67	3919
17	68	3717
18	68	3536
19	68	3372
20	69	3225
21	69	3093
22	69	2971
23	70	2856
24	70	2751
25	70	2657
26	71	2567
27	71	2484
28	71	2406
29	72	2334
30	72	2266
31	72	2206
32	73	2148
33	73	2093
34	74	2040
35	74	1990
36	74	1943
37	75	1898
38	75	1856
39	75	1816
40	76	1779
41	76	1742
42	76	1707
43	76	1672
44	77	1641
45	77	1610
46	77	1581
47	78	1552
48	78	1525
49	78	1498
50	79	1473
51	79	1451
52	79	1427
53	80	1405
54	80	1385
55	81	1365
56	81	1345
57	81	1327
58	82	1309
59	82	1291
60	82	1272
61	82	1255
62	83	1238
63	83	1223
64	83	1207
65	84	1193
66	84	1178
67	84	1163
68	85	1149
69	85	1135
70	85	1123
71	86	1110
72	86	1098
73	86	1086
74	87	1075
75	87	1064
76	87	1053
77	88	1043
78	88	1033
79	88	1023
80	89	1012
81	89	1002
82	89	991
83	90	982
84	90	973
85	90	965
86	91	956
87	91	948
88	91	940
89	92	932
90	92	924
91	92	916
92	93	908
93	93	901
94	93	893
95	94	886
96	94	879
97	94	872
98	95	865
99	95	859
100	95	852
101	96	845
102	96	839
103	96	833
104	97	827
105	97	821
106	97	815
107	98	809
108	98	804
109	98	798
110	98	792
111	99	787
112	99	782
113	99	776
114	100	772
115	100	767
116	101	762
117	101	757
118	101	752
119	101	747
120	102	743
121	102	738
122	102	733
123	103	729
124	103	724
125	103	720
126	104	715
127	104	710
128	104	706
129	104	702
130	105	698
131	105	694
132	105	690
133	106	686
134	106	682
135	106	678
136	107	674
137	107	671
138	107	667
139	108	664
140	108	660
141	108	656
142	108	652
143	109	649
144	109	646
145	110	644
146	110	641
147	110	637
148	111	635
149	111	632
150	112	629
151	112	627
152	112	624
153	113	620
154	113	617
155	113	614
156	114	612
157	114	609
158	114	606
159	114	603
160	115	599
161	115	596
162	115	593
163	116	591
164	116	588
165	116	586
166	116	583
167	117	580
168	117	578
169	118	576
170	118	574
171	118	572
172	119	569
173	119	567
174	119	564
175	120	562
176	120	560
177	120	557
178	121	555
179	121	552
180	121	550
181	122	548
182	122	546
183	122	544
184	123	542
185	123	540
186	123	538
187	124	536
188	124	533
189	124	531
190	125	529
191	125	527
192	125	525
193	126	523
194	126	521
195	126	519
196	127	518
197	127	516
198	127	514
199	128	512
200	128	510
201	128	508
202	129	506
203	129	504
204	129	503
205	130	501
206	130	499
207	130	497
208	130	495
209	131	493
210	131	491
211	131	489
212	131	487
213	132	485
214	132	483
215	132	481
216	133	480
217	133	478
218	133	476
219	133	474
220	134	473
221	134	471
222	134	470
223	135	468
224	135	467
225	135	465
226	136	464
227	136	462
228	136	461
229	137	459
230	137	457
231	137	456
232	138	455
233	138	453
234	138	452
235	139	450
236	139	449
237	139	447
238	140	446
239	140	444
240	140	443
241	141	441
242	141	440
243	141	439
244	142	438
245	142	436
246	142	435
247	143	433
248	143	432
249	143	431
250	144	429
251	144	428
252	144	427
253	144	425
254	145	424
255	145	423
256	145	422
257	146	420
258	146	419
259	146	418
260	147	416
261	147	415
262	147	414
263	148	412
264	148	411
265	148	410
266	148	408
267	149	407
268	149	406
269	149	404
270	150	403
271	150	402
272	150	401
273	150	400
274	151	398
275	151	397
276	151	396
277	152	394
278	152	393
279	152	392
280	152	391
281	153	389
282	153	388
283	153	387
284	153	386
285	154	385
286	154	383
287	154	382
288	155	381
289	155	380
290	155	379
291	155	377
292	156	376
293	156	375
294	156	374
295	156	373
296	157	372
297	157	371
298	157	370
299	158	369
300	158	368
301	158	367
302	159	366
303	159	365
